Date,Store ID,Category,Units Sold,Sales Amount,Total Cost,Gross Margin,Variance Last Year %
2024-01-04,S009,Electronics,12,1743.71,984.0,759.71,0.1868
2024-01-04,S010,Home,15,1641.51,795.46,846.05,-0.0969
2024-01-04,S011,Mens,10,585.99,380.19,205.8,-0.0417
2024-01-04,S012,Home,23,1123.92,557.56,566.36,-0.1177
2024-01-04,S013,Womens,12,842.5,415.63,426.87,-0.0874
2024-01-04,S014,Mens,22,2452.35,1508.32,944.03,-0.038
2024-01-04,S015,Electronics,7,725.97,405.76,320.21,0.142
2024-01-04,S016,Kids,12,1096.98,537.15,559.83,-0.1019
2024-01-04,S017,Electronics,14,383.5,181.6,201.9,-0.0254
2024-01-04,S018,Shoes,20,773.39,351.34,422.05,0.1553
2024-01-04,S019,Electronics,7,432.26,244.73,187.53,0.1099
2024-01-04,S020,Mens,10,1431.35,961.39,469.96,-0.0456
2024-01-05,S001,Mens,19,1575.54,1046.35,529.19,0.1135
2024-01-05,S002,Home,16,392.43,239.62,152.81,-0.1394
2024-01-05,S003,Kids,20,1853.78,1014.1,839.68,0.1073
2024-01-05,S004,Womens,19,2389.94,1449.46,940.48,0.1782
2024-01-05,S005,Mens,11,455.75,212.99,242.76,-0.1097
2024-01-05,S006,Mens,19,1870.82,999.28,871.54,0.1123
2024-01-05,S007,Electronics,10,181.42,118.58,62.84,-0.0373
2024-01-05,S008,Home,21,1302.53,891.14,411.39,-0.1343
2024-01-05,S009,Womens,21,3058.09,1795.08,1263.01,0.0194
2024-01-05,S010,Kids,17,1934.13,932.1,1002.03,-0.05
2024-01-05,S011,Shoes,5,236.05,146.34,89.71,0.146
2024-01-05,S012,Kids,9,593.94,346.61,247.33,0.0486
2024-01-05,S013,Womens,22,1213.98,576.64,637.34,-0.1286
2024-01-05,S014,Electronics,9,1164.28,627.23,537.05,0.2327
2024-01-05,S015,Home,19,1549.61,729.59,820.02,-0.1133
2024-01-05,S016,Home,20,2115.8,1350.08,765.72,0.1666
2024-01-05,S017,Womens,7,191.19,109.67,81.52,-0.127
2024-01-05,S018,Mens,5,572.5,335.76,236.74,0.1323
2024-01-05,S019,Home,9,1060.24,640.97,419.27,-0.1096
2024-01-05,S020,Shoes,13,585.62,321.6,264.02,0.2068
2024-01-06,S001,Mens,5,421.5,214.25,207.25,0.0825
2024-01-06,S002,Electronics,1,133.85,68.15,65.7,0.2131
2024-01-06,S003,Electronics,4,249.12,156.21,92.91,0.0427
2024-01-06,S004,Home,22,2424.1,1241.58,1182.52,-0.0179
2024-01-06,S005,Shoes,3,147.74,81.45,66.29,0.0786
2024-01-06,S006,Home,8,246.93,151.2,95.73,0.1484
2024-01-06,S007,Electronics,17,445.24,259.17,186.07,0.0245
2024-01-06,S008,Mens,12,1764.2,1039.12,725.08,-0.0209
2024-01-06,S009,Shoes,21,3130.06,1466.27,1663.79,0.0715
2024-01-06,S010,Home,18,673.9,339.78,334.12,-0.0322
2024-01-06,S011,Womens,21,2290.78,1250.88,1039.9,0.1448
2024-01-06,S012,Kids,12,1733.1,804.97,928.13,0.0078
2024-01-06,S013,Home,21,1101.38,547.42,553.96,0.0355
2024-01-06,S014,Mens,18,916.23,494.84,421.39,-0.046
2024-01-06,S015,Kids,22,425.98,221.48,204.5,0.0145
2024-01-06,S016,Electronics,16,591.25,400.71,190.54,0.179
2024-01-06,S017,Mens,19,2146.47,1295.08,851.39,0.0173
2024-01-06,S018,Shoes,18,1610.36,791.02,819.34,0.0145
2024-01-06,S019,Shoes,1,79.85,55.6,24.25,0.0007
2024-01-06,S020,Mens,22,2792.62,1653.99,1138.63,-0.1246
2024-01-07,S001,Womens,3,99.21,44.98,54.23,-0.1199
2024-01-07,S002,Home,17,1481.32,944.31,537.01,0.2153
2024-01-07,S003,Electronics,21,2993.41,1982.87,1010.54,-0.0511
2024-01-07,S004,Shoes,9,291.93,201.0,90.93,0.0925
2024-01-07,S005,Shoes,1,105.68,63.89,41.79,-0.0067
2024-01-07,S006,Mens,2,158.58,104.32,54.26,-0.0269
2024-01-07,S007,Womens,22,3204.88,1513.03,1691.85,0.1667
2024-01-07,S008,Womens,16,1276.9,708.85,568.05,0.1639
2024-01-07,S009,Shoes,2,247.36,167.16,80.2,0.0969
2024-01-07,S010,Mens,6,582.55,354.87,227.68,0.0719
2024-01-07,S011,Kids,2,124.03,71.75,52.28,0.1635
2024-01-07,S012,Home,23,1970.79,1230.58,740.21,0.1686
2024-01-07,S013,Mens,24,3088.38,1983.45,1104.93,-0.1235
2024-01-07,S014,Electronics,2,197.62,106.09,91.53,-0.0663
2024-01-07,S015,Kids,16,977.78,571.33,406.45,0.034
2024-01-07,S016,Kids,22,2402.07,1189.07,1213.0,0.1286
2024-01-07,S017,Womens,3,399.1,231.0,168.1,0.2392
2024-01-07,S018,Electronics,19,389.83,191.89,197.94,-0.0386
2024-01-07,S019,Electronics,22,593.45,284.95,308.5,0.0343
2024-01-07,S020,Mens,14,898.47,517.39,381.08,0.1262
2024-01-08,S001,Womens,15,1496.5,704.01,792.49,0.1994
2024-01-08,S002,Electronics,17,890.43,580.16,310.27,0.1493
2024-01-08,S003,Electronics,20,865.24,469.49,395.75,0.0438
2024-01-08,S004,Mens,23,1994.58,1256.84,737.74,-0.1251
2024-01-08,S005,Kids,24,791.3,492.02,299.28,0.1878
2024-01-08,S006,Kids,15,286.71,191.18,95.53,-0.0083
2024-01-08,S007,Kids,15,437.36,277.44,159.92,-0.0771
2024-01-08,S008,Womens,17,740.27,393.73,346.54,-0.1021
2024-01-08,S009,Womens,13,1236.75,766.51,470.24,0.1657
2024-01-08,S010,Electronics,18,481.22,281.17,200.05,0.0847
2024-01-08,S011,Womens,12,386.68,201.44,185.24,-0.0048
2024-01-08,S012,Mens,2,95.98,55.15,40.83,-0.0179
2024-01-08,S013,Womens,1,16.02,8.11,7.91,-0.0039
2024-01-08,S014,Home,11,295.51,192.51,103.0,-0.1277
2024-01-08,S015,Womens,23,505.33,229.7,275.63,0.1288
2024-01-08,S016,Shoes,2,185.52,126.03,59.49,-0.1479
2024-01-08,S017,Shoes,17,1381.27,871.2,510.07,0.1783
2024-01-08,S018,Mens,15,1308.45,744.71,563.74,0.1854
2024-01-08,S019,Electronics,6,874.08,548.69,325.39,-0.0702
2024-01-08,S020,Home,17,1470.98,922.02,548.96,0.1571
2024-01-09,S001,Shoes,5,416.62,284.55,132.07,-0.0217
2024-01-09,S002,Kids,1,64.85,36.55,28.3,0.0694
2024-01-09,S003,Mens,12,506.8,314.8,192.0,-0.1149
2024-01-09,S004,Electronics,9,1058.68,634.05,424.63,0.0386
2024-01-09,S005,Kids,17,2207.42,1405.01,802.41,0.0134
2024-01-09,S006,Electronics,24,3570.61,1789.77,1780.84,0.0017
2024-01-09,S007,Womens,8,899.32,415.51,483.81,0.1626
2024-01-09,S008,Kids,9,1046.86,680.34,366.52,0.1801
2024-01-09,S009,Electronics,5,234.09,142.43,91.66,0.2131
2024-01-09,S010,Womens,13,1227.48,761.95,465.53,0.0308
2024-01-09,S011,Shoes,19,1885.82,1103.1,782.72,0.0255
2024-01-09,S012,Womens,17,2319.52,1266.39,1053.13,0.0674
2024-01-09,S013,Kids,7,215.47,147.59,67.88,0.1011
2024-01-09,S014,Mens,20,2443.87,1478.59,965.28,0.0634
2024-01-09,S015,Kids,4,598.75,382.06,216.69,0.1328
2024-01-09,S016,Kids,23,789.41,395.6,393.81,0.1356
2024-01-09,S017,Electronics,10,611.81,400.93,210.88,-0.1057
2024-01-09,S018,Home,13,418.74,230.02,188.72,0.1689
2024-01-09,S019,Electronics,15,1053.13,677.13,376.0,-0.1451
2024-01-09,S020,Kids,19,1735.53,1091.73,643.8,0.0896
2024-01-10,S001,Home,11,1589.23,851.24,737.99,-0.0591
2024-01-10,S002,Mens,14,1372.26,930.34,441.92,-0.0944
2024-01-10,S003,Mens,1,17.44,11.65,5.79,0.2228
2024-01-10,S004,Home,16,1744.77,1187.53,557.24,0.1329
2024-01-10,S005,Mens,17,1577.58,949.2,628.38,0.0197
2024-01-10,S006,Electronics,14,1975.95,1346.4,629.55,0.0303
2024-01-10,S007,Shoes,5,739.77,488.04,251.73,-0.1001
2024-01-10,S008,Womens,1,132.44,76.78,55.66,0.0865
2024-01-10,S009,Electronics,15,335.89,179.3,156.59,0.1711
2024-01-10,S010,Electronics,9,273.83,151.6,122.23,0.1954
2024-01-10,S011,Shoes,2,155.74,88.8,66.94,0.2174
2024-01-10,S012,Kids,12,1658.65,849.32,809.33,0.0811
2024-01-10,S013,Home,6,117.44,61.99,55.45,0.1622
2024-01-10,S014,Kids,22,983.69,494.96,488.73,0.0561
2024-01-10,S015,Womens,20,1539.27,907.13,632.14,0.1943
2024-01-10,S016,Electronics,8,662.37,396.66,265.71,-0.1232
2024-01-10,S017,Kids,24,3269.7,1639.05,1630.65,-0.0737
2024-01-10,S018,Electronics,16,1460.06,681.01,779.05,0.1602
2024-01-10,S019,Mens,2,174.3,99.4,74.9,0.0488
2024-01-10,S020,Kids,4,158.24,105.3,52.94,0.2284
2024-01-11,S001,Mens,10,1361.53,791.93,569.6,0.1703
2024-01-11,S002,Home,18,2376.79,1311.98,1064.81,0.0707
2024-01-11,S003,Kids,24,995.41,573.73,421.68,0.088
2024-01-11,S004,Womens,15,1378.12,925.91,452.21,0.0727
2024-01-11,S005,Mens,3,143.48,90.47,53.01,0.1923
2024-01-11,S006,Kids,16,1097.92,677.44,420.48,-0.068
2024-01-11,S007,Mens,7,703.41,445.95,257.46,0.1893
2024-01-11,S008,Electronics,19,1780.5,988.81,791.69,0.2071
2024-01-11,S009,Electronics,20,1206.84,792.02,414.82,-0.0048
2024-01-11,S010,Home,20,1985.2,1096.53,888.67,0.0708
2024-01-11,S011,Mens,21,1149.81,790.05,359.76,0.1554
2024-01-11,S012,Womens,10,913.8,636.32,277.48,0.0384
2024-01-11,S013,Womens,18,324.6,167.87,156.73,0.0667
2024-01-11,S014,Electronics,7,311.03,190.12,120.91,0.0187
2024-01-11,S015,Mens,13,1408.09,874.14,533.95,0.179
2024-01-11,S016,Electronics,10,928.3,481.34,446.96,0.0717
2024-01-11,S017,Womens,6,762.09,382.27,379.82,-0.1456
2024-01-11,S018,Electronics,6,683.07,350.2,332.87,0.1032
2024-01-11,S019,Electronics,7,646.76,426.56,220.2,0.0118
2024-01-11,S020,Shoes,14,298.77,146.87,151.9,0.1452
2024-01-12,S001,Kids,21,2024.94,1035.43,989.51,0.0057
2024-01-12,S002,Kids,4,448.28,235.02,213.26,0.0766
2024-01-12,S003,Mens,23,2405.7,1646.0,759.7,0.143
2024-01-12,S004,Womens,4,351.52,172.42,179.1,0.1866
2024-01-12,S005,Womens,13,466.45,282.59,183.86,0.0397
2024-01-12,S006,Womens,9,562.12,310.96,251.16,0.132
2024-01-12,S007,Mens,7,176.76,82.98,93.78,-0.1491
2024-01-12,S008,Kids,6,568.09,306.91,261.18,-0.1134
2024-01-12,S009,Kids,17,569.0,391.22,177.78,0.0284
2024-01-12,S010,Home,16,2125.56,1345.6,779.96,0.1726
2024-01-12,S011,Electronics,22,2222.58,1545.01,677.57,0.2113
2024-01-12,S012,Home,15,1628.68,753.91,874.77,0.118
2024-01-12,S013,Mens,16,2238.54,1108.4,1130.14,0.0772
2024-01-12,S014,Mens,7,137.08,85.59,51.49,-0.0311
2024-01-12,S015,Mens,23,2814.54,1790.8,1023.74,-0.128
2024-01-12,S016,Kids,18,1539.52,940.86,598.66,0.1101
2024-01-12,S017,Kids,12,375.32,176.11,199.21,0.1285
2024-01-12,S018,Mens,23,1600.93,949.52,651.41,0.1716
2024-01-12,S019,Home,22,1276.69,774.28,502.41,0.2044
2024-01-12,S020,Mens,12,557.39,254.23,303.16,0.198
2024-01-13,S001,Shoes,23,920.89,502.8,418.09,0.223
2024-01-13,S002,Kids,7,113.96,52.78,61.18,-0.1146
2024-01-13,S003,Shoes,21,1675.18,997.05,678.13,-0.0413
2024-01-13,S004,Womens,10,273.79,146.23,127.56,0.059
2024-01-13,S005,Womens,17,508.54,273.93,234.61,-0.0351
2024-01-13,S006,Home,18,837.67,385.77,451.9,-0.1429
2024-01-13,S007,Shoes,15,1091.24,595.91,495.33,0.1219
2024-01-13,S008,Home,5,605.78,286.14,319.64,0.017
2024-01-13,S009,Shoes,24,1874.38,1130.91,743.47,-0.0832
2024-01-13,S010,Home,4,185.1,126.92,58.18,0.1099
2024-01-13,S011,Electronics,19,1600.05,812.29,787.76,-0.0794
2024-01-13,S012,Mens,9,361.52,233.14,128.38,-0.0099
2024-01-13,S013,Electronics,22,3208.23,2152.55,1055.68,0.2211
2024-01-13,S014,Mens,17,654.09,359.13,294.96,0.1533
2024-01-13,S015,Shoes,17,608.19,397.73,210.46,-0.0602
2024-01-13,S016,Electronics,15,295.6,199.15,96.45,0.1941
2024-01-13,S017,Kids,9,610.27,316.27,294.0,0.0407
2024-01-13,S018,Kids,2,262.77,171.43,91.34,0.1121
2024-01-13,S019,Electronics,11,294.18,162.42,131.76,-0.0009
2024-01-13,S020,Kids,5,107.93,62.94,44.99,0.2348
2024-01-14,S001,Electronics,5,744.25,346.36,397.89,0.2032
2024-01-14,S002,Shoes,19,2400.31,1288.85,1111.46,0.1212
2024-01-14,S003,Kids,13,663.63,444.4,219.23,0.169
2024-01-14,S004,Home,1,36.24,17.76,18.48,-0.0164
2024-01-14,S005,Electronics,21,2243.2,1356.36,886.84,0.1511
2024-01-14,S006,Electronics,11,1592.55,901.97,690.58,0.2016
2024-01-14,S007,Mens,10,1256.93,637.46,619.47,0.2135
2024-01-14,S008,Mens,4,360.34,230.31,130.03,-0.0465
2024-01-14,S009,Mens,13,1277.71,888.39,389.32,0.1027
2024-01-14,S010,Mens,24,3012.52,1452.37,1560.15,-0.0367
2024-01-14,S011,Mens,9,1305.04,698.81,606.23,0.103
2024-01-14,S012,Shoes,5,144.19,98.67,45.52,0.1252
2024-01-14,S013,Mens,4,222.52,139.53,82.99,-0.1231
2024-01-14,S014,Mens,22,1357.27,821.46,535.81,-0.1317
2024-01-14,S015,Mens,14,2049.89,1418.97,630.92,0.1499
2024-01-14,S016,Kids,20,2347.31,1070.72,1276.59,-0.1412
2024-01-14,S017,Shoes,15,1214.5,780.44,434.06,0.1233
2024-01-14,S018,Mens,2,103.88,72.64,31.24,0.0205
2024-01-14,S019,Electronics,9,333.8,216.54,117.26,0.1275
2024-01-14,S020,Home,2,238.66,121.12,117.54,-0.0975
2024-01-15,S001,Kids,17,2465.63,1128.83,1336.8,0.1425
2024-01-15,S002,Electronics,20,1373.5,712.23,661.27,0.2436
2024-01-15,S003,Womens,6,276.26,139.04,137.22,-0.1375
2024-01-15,S004,Womens,24,1554.03,1035.12,518.91,0.0393
2024-01-15,S005,Home,14,595.0,281.31,313.69,-0.0885
2024-01-15,S006,Kids,14,1212.37,550.98,661.39,0.1687
2024-01-15,S007,Home,21,2900.06,2006.49,893.57,-0.0758
2024-01-15,S008,Womens,14,1340.84,806.95,533.89,-0.051
2024-01-15,S009,Womens,6,272.69,133.67,139.02,0.1106
2024-01-15,S010,Electronics,21,1988.4,1110.15,878.25,0.2437
2024-01-15,S011,Womens,8,621.77,385.57,236.2,0.0082
2024-01-15,S012,Shoes,11,1197.05,796.07,400.98,0.1619
2024-01-15,S013,Kids,22,2555.01,1242.96,1312.05,-0.1089
2024-01-15,S014,Shoes,15,1235.25,746.76,488.49,0.131
2024-01-15,S015,Mens,8,130.55,69.4,61.15,0.0571
2024-01-15,S016,Womens,9,561.01,257.11,303.9,-0.1186
2024-01-15,S017,Shoes,7,230.42,136.38,94.04,0.1258
2024-01-15,S018,Mens,15,630.3,310.03,320.27,-0.1082
2024-01-15,S019,Kids,3,407.97,244.25,163.72,0.0966
2024-01-15,S020,Womens,18,2542.54,1746.31,796.23,0.1001
2024-01-16,S001,Home,15,1875.02,881.31,993.71,0.2079
2024-01-16,S002,Home,6,752.01,423.44,328.57,0.1074
2024-01-16,S003,Womens,10,742.12,468.43,273.69,0.0873
2024-01-16,S004,Home,13,1036.13,625.76,410.37,-0.0184
2024-01-16,S005,Shoes,4,461.91,308.54,153.37,0.0235
2024-01-16,S006,Kids,12,1079.69,679.99,399.7,-0.0586
2024-01-16,S007,Womens,3,78.02,42.97,35.05,-0.0618
2024-01-16,S008,Shoes,15,746.81,422.44,324.37,0.1973
2024-01-16,S009,Mens,24,1738.6,932.73,805.87,-0.0016
2024-01-16,S010,Home,24,2120.29,1226.59,893.7,0.0852
2024-01-16,S011,Mens,21,1436.29,864.0,572.29,0.0891
2024-01-16,S012,Home,6,620.56,433.17,187.39,-0.0365
2024-01-16,S013,Electronics,12,801.83,454.2,347.63,0.1844
2024-01-16,S014,Womens,3,359.28,198.08,161.2,0.0907
2024-01-16,S015,Mens,12,784.01,453.28,330.73,0.0152
2024-01-16,S016,Shoes,13,962.23,456.43,505.8,0.012
2024-01-16,S017,Shoes,24,2237.3,1377.41,859.89,-0.1119
2024-01-16,S018,Womens,2,261.66,118.34,143.32,0.0854
2024-01-16,S019,Home,24,1645.18,837.82,807.36,-0.0561
2024-01-16,S020,Mens,3,224.02,119.34,104.68,0.0295
2024-01-17,S001,Home,9,658.53,337.28,321.25,0.0969
2024-01-17,S002,Womens,22,827.83,380.11,447.72,0.1446
2024-01-17,S003,Electronics,12,948.9,627.26,321.64,0.1723
2024-01-17,S004,Home,15,1983.25,994.52,988.73,-0.1052
2024-01-17,S005,Mens,14,317.89,185.26,132.63,0.2246
2024-01-17,S006,Electronics,1,31.48,17.72,13.76,0.2236
2024-01-17,S007,Electronics,1,83.48,38.43,45.05,-0.0907
2024-01-17,S008,Electronics,18,2615.24,1180.09,1435.15,0.2307
2024-01-17,S009,Mens,7,534.73,309.55,225.18,0.0455
2024-01-17,S010,Home,6,203.12,92.93,110.19,-0.0268
2024-01-17,S011,Mens,10,1139.41,558.99,580.42,-0.0747
2024-01-17,S012,Electronics,6,793.2,392.07,401.13,0.1271
2024-01-17,S013,Mens,11,1179.62,677.45,502.17,0.0971
2024-01-17,S014,Womens,12,363.24,235.7,127.54,0.2175
2024-01-17,S015,Womens,19,2698.35,1772.03,926.32,0.1168
2024-01-17,S016,Womens,2,299.84,138.54,161.3,0.2409
2024-01-17,S017,Womens,16,1865.24,881.55,983.69,-0.0345
2024-01-17,S018,Kids,4,411.28,263.75,147.53,0.2203
2024-01-17,S019,Kids,6,820.11,549.04,271.07,-0.0231
2024-01-17,S020,Electronics,11,722.87,378.94,343.93,0.1096
2024-01-18,S001,Electronics,15,1501.17,904.39,596.78,0.0754
2024-01-18,S002,Kids,1,47.07,25.57,21.5,-0.0591
2024-01-18,S003,Mens,11,1061.12,654.77,406.35,0.0978
2024-01-18,S004,Shoes,9,596.44,397.13,199.31,0.0576
2024-01-18,S005,Shoes,21,2622.03,1251.31,1370.72,-0.0904
2024-01-18,S006,Electronics,15,1305.55,785.91,519.64,0.156
2024-01-18,S007,Shoes,14,1567.25,1079.65,487.6,-0.1427
2024-01-18,S008,Kids,23,3129.3,1463.95,1665.35,0.2319
2024-01-18,S009,Home,11,729.41,364.19,365.22,0.0417
2024-01-18,S010,Kids,2,74.91,45.27,29.64,0.0592
2024-01-18,S011,Shoes,15,1302.83,775.49,527.34,-0.1141
2024-01-18,S012,Shoes,18,1241.77,862.01,379.76,0.1793
2024-01-18,S013,Shoes,11,347.99,231.36,116.63,0.1699
2024-01-18,S014,Womens,10,400.06,271.82,128.24,0.0198
2024-01-18,S015,Shoes,7,875.88,475.93,399.95,0.0606
2024-01-18,S016,Kids,13,1250.83,819.04,431.79,0.2037
2024-01-18,S017,Womens,9,920.63,454.51,466.12,-0.0057
2024-01-18,S018,Mens,8,951.54,560.61,390.93,-0.0477
2024-01-18,S019,Home,18,2048.66,1357.84,690.82,0.1186
2024-01-18,S020,Womens,18,2132.97,1039.67,1093.3,0.0196
2024-01-19,S001,Electronics,15,701.35,468.02,233.33,0.0392
2024-01-19,S002,Electronics,17,664.53,350.92,313.61,-0.0579
2024-01-19,S003,Kids,10,496.79,302.05,194.74,-0.1266
2024-01-19,S004,Womens,2,104.13,62.4,41.73,0.1203
2024-01-19,S005,Mens,22,1654.0,1043.89,610.11,-0.1437
2024-01-19,S006,Home,14,406.77,256.71,150.06,0.0814
2024-01-19,S007,Electronics,14,710.65,434.44,276.21,0.0883
2024-01-19,S008,Womens,8,516.31,276.69,239.62,0.0969
2024-01-19,S009,Electronics,17,2164.13,1336.14,827.99,-0.122
2024-01-19,S010,Electronics,8,1070.49,655.91,414.58,0.0632
2024-01-19,S011,Electronics,3,122.08,56.53,65.55,0.0014
2024-01-19,S012,Shoes,17,2539.63,1426.23,1113.4,-0.0166
2024-01-19,S013,Shoes,12,323.8,223.56,100.24,0.104
2024-01-19,S014,Womens,23,2008.74,952.48,1056.26,0.0301
2024-01-19,S015,Home,17,945.46,657.39,288.07,0.04
2024-01-19,S016,Shoes,13,405.3,281.09,124.21,-0.142
2024-01-19,S017,Home,8,950.09,485.41,464.68,0.1186
2024-01-19,S018,Home,6,298.21,192.93,105.28,0.1959
2024-01-19,S019,Electronics,16,1334.77,653.81,680.96,-0.1248
2024-01-19,S020,Home,1,45.69,24.46,21.23,0.0024
2024-01-20,S001,Mens,9,754.31,495.07,259.24,-0.0381
2024-01-20,S002,Mens,4,531.6,260.72,270.88,0.1645
2024-01-20,S003,Shoes,5,338.95,194.99,143.96,0.0089
2024-01-20,S004,Shoes,18,1795.92,1110.91,685.01,0.063
2024-01-20,S005,Shoes,6,204.44,102.83,101.61,0.1775
2024-01-20,S006,Electronics,3,115.28,71.9,43.38,-0.0116
2024-01-20,S007,Home,18,1827.56,1198.19,629.37,-0.097
2024-01-20,S008,Shoes,1,139.57,79.8,59.77,0.0925
2024-01-20,S009,Shoes,14,540.45,311.11,229.34,0.0095
2024-01-20,S010,Womens,13,840.02,392.33,447.69,-0.1397
2024-01-20,S011,Womens,15,2175.31,1277.74,897.57,0.2363
2024-01-20,S012,Home,13,1838.47,1229.98,608.49,-0.0389
2024-01-20,S013,Shoes,11,1085.09,664.67,420.42,-0.0892
2024-01-20,S014,Kids,5,602.01,340.11,261.9,-0.1267
2024-01-20,S015,Kids,18,410.41,256.0,154.41,0.2435
2024-01-20,S016,Kids,9,307.83,147.86,159.97,-0.0287
2024-01-20,S017,Kids,7,759.09,353.41,405.68,0.0538
2024-01-20,S018,Womens,5,490.27,258.16,232.11,0.0996
2024-01-20,S019,Home,6,435.13,210.03,225.1,0.2046
2024-01-20,S020,Shoes,3,193.94,107.35,86.59,0.181
2024-01-21,S001,Electronics,22,3192.55,1635.05,1557.5,-0.0965
2024-01-21,S002,Electronics,22,2677.3,1594.43,1082.87,0.1224
2024-01-21,S003,Electronics,1,58.67,38.64,20.03,0.1017
2024-01-21,S004,Electronics,18,427.02,196.71,230.31,-0.0014
2024-01-21,S005,Womens,11,839.75,555.15,284.6,-0.1108
2024-01-21,S006,Mens,4,526.92,269.19,257.73,0.1107
2024-01-21,S007,Kids,9,881.11,585.84,295.27,0.007
