Date,State,Manufacturer,Units,Revenue,Market Share %
2024-03-31,IL,Natura,789,78485.24,0.1672
2024-03-31,IL,Piraki,298,40395.34,0.2436
2024-03-31,IL,Palma,80,8357.93,0.0552
2024-03-31,IL,Other Competitors,765,63390.15,0.1916
2024-03-31,PA,VanArsdel,1187,64900.86,0.0976
2024-03-31,PA,Abbas,477,34847.03,0.1514
2024-03-31,PA,Natura,602,79863.11,0.3152
2024-03-31,PA,Piraki,895,75279.1,0.1391
2024-03-31,PA,Palma,169,22554.69,0.2539
2024-03-31,PA,Other Competitors,258,22712.9,0.202
2024-03-31,OH,VanArsdel,321,44610.5,0.1642
2024-03-31,OH,Abbas,776,73139.3,0.2739
2024-03-31,OH,Natura,531,74769.07,0.0671
2024-03-31,OH,Piraki,209,20427.82,0.1795
2024-03-31,OH,Palma,367,53066.87,0.0837
2024-03-31,OH,Other Competitors,561,38889.4,0.3182
2024-03-31,GA,VanArsdel,790,77343.51,0.0812
2024-03-31,GA,Abbas,533,63897.1,0.1564
2024-03-31,GA,Natura,484,71555.56,0.2174
2024-03-31,GA,Piraki,594,47429.59,0.2254
2024-03-31,GA,Palma,473,37973.17,0.0702
2024-03-31,GA,Other Competitors,343,23953.09,0.2126
2024-03-31,NC,VanArsdel,452,50125.25,0.1665
2024-03-31,NC,Abbas,274,36592.23,0.1929
2024-03-31,NC,Natura,841,79083.0,0.2449
2024-03-31,NC,Piraki,76,8777.22,0.3054
2024-03-31,NC,Palma,505,75684.34,0.1347
2024-03-31,NC,Other Competitors,506,48152.75,0.2191
2024-03-31,MI,VanArsdel,123,16808.97,0.3229
2024-03-31,MI,Abbas,496,38724.62,0.0923
2024-03-31,MI,Natura,692,56282.36,0.3229
2024-03-31,MI,Piraki,482,55325.94,0.2178
2024-03-31,MI,Palma,58,8433.23,0.2384
2024-03-31,MI,Other Competitors,766,79554.65,0.263
2024-04-30,CA,VanArsdel,81,9215.72,0.2794
2024-04-30,CA,Abbas,499,63388.57,0.1179
2024-04-30,CA,Natura,522,78154.89,0.0727
2024-04-30,CA,Piraki,952,75233.48,0.2568
2024-04-30,CA,Palma,206,30358.32,0.0805
2024-04-30,CA,Other Competitors,456,42331.01,0.1478
2024-04-30,NY,VanArsdel,846,53415.05,0.265
2024-04-30,NY,Abbas,602,78544.41,0.308
2024-04-30,NY,Natura,387,31972.76,0.2051
2024-04-30,NY,Piraki,58,8429.5,0.0931
2024-04-30,NY,Palma,1246,72725.98,0.2968
2024-04-30,NY,Other Competitors,304,16397.19,0.2658
2024-04-30,TX,VanArsdel,214,26019.9,0.2165
2024-04-30,TX,Abbas,91,13160.55,0.1857
2024-04-30,TX,Natura,600,60083.55,0.2313
2024-04-30,TX,Piraki,395,27708.02,0.2128
2024-04-30,TX,Palma,427,38016.42,0.2518
2024-04-30,TX,Other Competitors,1040,56788.0,0.1516
2024-04-30,FL,VanArsdel,601,35882.34,0.1208
2024-04-30,FL,Abbas,59,8873.13,0.271
2024-04-30,FL,Natura,222,11558.76,0.2658
2024-04-30,FL,Piraki,294,37939.41,0.327
2024-04-30,FL,Palma,726,49947.53,0.2847
2024-04-30,FL,Other Competitors,709,76685.88,0.2546
2024-04-30,IL,VanArsdel,343,30310.6,0.2704
2024-04-30,IL,Abbas,660,74582.83,0.287
2024-04-30,IL,Natura,251,17872.63,0.2096
2024-04-30,IL,Piraki,160,18241.56,0.1375
2024-04-30,IL,Palma,492,64364.95,0.1891
2024-04-30,IL,Other Competitors,161,18560.8,0.3478
2024-04-30,PA,VanArsdel,964,51694.32,0.0552
2024-04-30,PA,Abbas,417,29027.15,0.2939
2024-04-30,PA,Natura,901,68360.43,0.1477
2024-04-30,PA,Piraki,161,22718.52,0.2008
2024-04-30,PA,Palma,592,54210.28,0.2393
2024-04-30,PA,Other Competitors,404,33939.15,0.2403
2024-04-30,OH,VanArsdel,621,49329.66,0.0948
2024-04-30,OH,Abbas,356,32643.25,0.2386
2024-04-30,OH,Natura,1372,73589.66,0.1231
2024-04-30,OH,Piraki,194,19528.7,0.1789
2024-04-30,OH,Palma,803,59677.82,0.2283
2024-04-30,OH,Other Competitors,505,71289.29,0.3376
2024-04-30,GA,VanArsdel,448,62994.59,0.1204
2024-04-30,GA,Abbas,391,19818.57,0.2621
2024-04-30,GA,Natura,1096,75310.04,0.2411
2024-04-30,GA,Piraki,427,60984.48,0.2441
2024-04-30,GA,Palma,920,77772.03,0.155
2024-04-30,GA,Other Competitors,517,45725.94,0.0504
2024-04-30,NC,VanArsdel,478,59882.9,0.2741
2024-04-30,NC,Abbas,302,30876.55,0.158
2024-04-30,NC,Natura,58,6202.73,0.0871
2024-04-30,NC,Piraki,87,11003.1,0.0529
2024-04-30,NC,Palma,757,76925.63,0.3449
2024-04-30,NC,Other Competitors,86,9349.82,0.1548
2024-04-30,MI,VanArsdel,792,68261.19,0.1281
2024-04-30,MI,Abbas,792,69316.48,0.055
2024-04-30,MI,Natura,296,34271.68,0.1263
2024-04-30,MI,Piraki,671,37399.07,0.2264
2024-04-30,MI,Palma,675,61722.12,0.1761
2024-04-30,MI,Other Competitors,165,11621.19,0.0964
2024-05-31,CA,VanArsdel,399,41126.58,0.3347
2024-05-31,CA,Abbas,95,10492.36,0.2079
2024-05-31,CA,Natura,318,43717.48,0.1117
2024-05-31,CA,Piraki,68,8058.0,0.1535
2024-05-31,CA,Palma,84,6319.24,0.1428
2024-05-31,CA,Other Competitors,762,51262.88,0.1739
2024-05-31,NY,VanArsdel,429,41185.66,0.3422
2024-05-31,NY,Abbas,57,8412.82,0.2246
2024-05-31,NY,Natura,695,64679.58,0.1862
2024-05-31,NY,Piraki,508,70949.49,0.1216
2024-05-31,NY,Palma,200,19943.14,0.3201
2024-05-31,NY,Other Competitors,253,29176.63,0.2624
2024-05-31,TX,VanArsdel,595,63400.6,0.1707
2024-05-31,TX,Abbas,697,77526.2,0.2686
2024-05-31,TX,Natura,263,30873.71,0.1273
2024-05-31,TX,Piraki,192,23382.27,0.2064
2024-05-31,TX,Palma,730,56245.75,0.2296
2024-05-31,TX,Other Competitors,349,38295.02,0.1373
2024-05-31,FL,VanArsdel,449,58658.82,0.128
2024-05-31,FL,Abbas,237,27546.54,0.2587
2024-05-31,FL,Natura,488,57807.48,0.1678
2024-05-31,FL,Piraki,458,34614.03,0.0971
2024-05-31,FL,Palma,959,56943.3,0.3313
2024-05-31,FL,Other Competitors,493,67001.47,0.322
2024-05-31,IL,VanArsdel,264,35645.37,0.0974
2024-05-31,IL,Abbas,51,6623.13,0.0724
2024-05-31,IL,Natura,673,79139.35,0.276
2024-05-31,IL,Piraki,199,23435.29,0.063
2024-05-31,IL,Palma,1013,67836.93,0.2592
2024-05-31,IL,Other Competitors,384,21836.04,0.1944
2024-05-31,PA,VanArsdel,143,17696.47,0.1213
2024-05-31,PA,Abbas,287,30685.44,0.1355
2024-05-31,PA,Natura,253,33349.11,0.1038
2024-05-31,PA,Piraki,134,11165.12,0.1773
2024-05-31,PA,Palma,523,45699.45,0.287
2024-05-31,PA,Other Competitors,85,7948.96,0.1647
2024-05-31,OH,VanArsdel,365,53568.39,0.2031
2024-05-31,OH,Abbas,984,79015.76,0.0593
2024-05-31,OH,Natura,194,17424.74,0.1449
2024-05-31,OH,Piraki,131,12279.06,0.1514
2024-05-31,OH,Palma,178,14196.44,0.3159
2024-05-31,OH,Other Competitors,227,27653.66,0.2336
2024-05-31,GA,VanArsdel,501,37038.59,0.1607
2024-05-31,GA,Abbas,580,49408.04,0.1145
2024-05-31,GA,Natura,99,13734.71,0.1821
2024-05-31,GA,Piraki,523,51890.62,0.3118
2024-05-31,GA,Palma,469,46020.11,0.3274
2024-05-31,GA,Other Competitors,964,58976.72,0.1033
2024-05-31,NC,VanArsdel,479,64034.21,0.2136
2024-05-31,NC,Abbas,411,46584.14,0.1817
2024-05-31,NC,Natura,920,56014.93,0.3384
2024-05-31,NC,Piraki,541,61261.61,0.1449
2024-05-31,NC,Palma,187,17071.66,0.2485
2024-05-31,NC,Other Competitors,595,52528.23,0.234
2024-05-31,MI,VanArsdel,1254,66031.12,0.1852
2024-05-31,MI,Abbas,591,61891.64,0.2454
2024-05-31,MI,Natura,293,43750.73,0.0664
2024-05-31,MI,Piraki,707,41828.36,0.0979
2024-05-31,MI,Palma,514,33727.88,0.3391
2024-05-31,MI,Other Competitors,909,76009.23,0.2419
2024-06-30,CA,VanArsdel,342,45031.5,0.2382
2024-06-30,CA,Abbas,39,5018.93,0.2741
2024-06-30,CA,Natura,308,43229.2,0.3225
2024-06-30,CA,Piraki,399,44293.38,0.349
2024-06-30,CA,Palma,332,27411.52,0.1048
2024-06-30,CA,Other Competitors,580,72190.02,0.0817
2024-06-30,NY,VanArsdel,638,78632.55,0.3052
2024-06-30,NY,Abbas,85,8611.31,0.2596
2024-06-30,NY,Natura,391,45720.99,0.2954
2024-06-30,NY,Piraki,245,33075.28,0.0989
2024-06-30,NY,Palma,465,25316.45,0.1593
2024-06-30,NY,Other Competitors,256,33493.22,0.2459
2024-06-30,TX,VanArsdel,327,37754.19,0.0658
2024-06-30,TX,Abbas,164,18520.37,0.2424
2024-06-30,TX,Natura,698,63060.1,0.2668
2024-06-30,TX,Piraki,384,56298.52,0.1145
2024-06-30,TX,Palma,420,46375.97,0.3496
2024-06-30,TX,Other Competitors,196,20088.81,0.1539
2024-06-30,FL,VanArsdel,607,44441.97,0.0643
2024-06-30,FL,Abbas,573,47942.41,0.1046
2024-06-30,FL,Natura,533,29295.17,0.3351
2024-06-30,FL,Piraki,369,48586.09,0.1769
2024-06-30,FL,Palma,739,72748.6,0.2222
2024-06-30,FL,Other Competitors,339,41884.55,0.22
2024-06-30,IL,VanArsdel,393,25369.92,0.2318
2024-06-30,IL,Abbas,699,41688.5,0.1687
2024-06-30,IL,Natura,328,43608.23,0.0728
2024-06-30,IL,Piraki,235,31137.15,0.2445
2024-06-30,IL,Palma,198,26746.87,0.198
2024-06-30,IL,Other Competitors,286,42376.39,0.3341
2024-06-30,PA,VanArsdel,497,31889.95,0.1477
2024-06-30,PA,Abbas,139,7286.24,0.1687
2024-06-30,PA,Natura,551,75576.49,0.2034
2024-06-30,PA,Piraki,936,47391.98,0.1147
2024-06-30,PA,Palma,54,6858.06,0.0937
2024-06-30,PA,Other Competitors,613,70178.53,0.1188
2024-06-30,OH,VanArsdel,149,16829.02,0.3203
2024-06-30,OH,Abbas,693,58877.02,0.2262
2024-06-30,OH,Natura,188,28307.13,0.2747
2024-06-30,OH,Piraki,553,51078.62,0.2354
2024-06-30,OH,Palma,578,30621.2,0.1685
2024-06-30,OH,Other Competitors,663,74786.06,0.0752
2024-06-30,GA,VanArsdel,928,71374.52,0.1231
2024-06-30,GA,Abbas,253,27281.82,0.2134
2024-06-30,GA,Natura,343,41856.03,0.145
2024-06-30,GA,Piraki,942,63654.84,0.2848
2024-06-30,GA,Palma,463,54785.76,0.1945
2024-06-30,GA,Other Competitors,949,55025.11,0.3055
2024-06-30,NC,VanArsdel,141,9166.04,0.223
2024-06-30,NC,Abbas,1049,60455.86,0.3262
2024-06-30,NC,Natura,705,78020.57,0.1944
2024-06-30,NC,Piraki,731,60604.62,0.198
2024-06-30,NC,Palma,506,73711.33,0.3281
2024-06-30,NC,Other Competitors,336,24683.61,0.1393
2024-06-30,MI,VanArsdel,467,38098.33,0.1623
2024-06-30,MI,Abbas,408,51547.77,0.2707
2024-06-30,MI,Natura,1241,66081.77,0.0643
2024-06-30,MI,Piraki,621,64203.72,0.2234
2024-06-30,MI,Palma,118,8944.01,0.2415
2024-06-30,MI,Other Competitors,490,69438.64,0.2001
2024-07-31,CA,VanArsdel,344,45910.57,0.2113
2024-07-31,CA,Abbas,311,43764.39,0.287
2024-07-31,CA,Natura,1018,73180.44,0.2073
2024-07-31,CA,Piraki,1115,68185.41,0.2884
2024-07-31,CA,Palma,143,18723.0,0.2336
2024-07-31,CA,Other Competitors,200,19492.7,0.2546
2024-07-31,NY,VanArsdel,566,52538.97,0.3198
2024-07-31,NY,Abbas,436,43944.76,0.0687
2024-07-31,NY,Natura,1095,74159.03,0.2085
2024-07-31,NY,Piraki,912,65267.57,0.2082
2024-07-31,NY,Palma,182,23051.37,0.2193
2024-07-31,NY,Other Competitors,496,69198.19,0.2446
2024-07-31,TX,VanArsdel,566,59404.34,0.1653
2024-07-31,TX,Abbas,380,53608.84,0.175
2024-07-31,TX,Natura,321,28580.75,0.1806
2024-07-31,TX,Piraki,105,10517.08,0.1983
2024-07-31,TX,Palma,569,49133.29,0.2339
2024-07-31,TX,Other Competitors,486,70866.22,0.2251
2024-07-31,FL,VanArsdel,55,8194.32,0.2618
2024-07-31,FL,Abbas,466,30197.27,0.093
2024-07-31,FL,Natura,322,17580.83,0.3206
2024-07-31,FL,Piraki,379,45557.62,0.2984
2024-07-31,FL,Palma,465,64365.58,0.3402
2024-07-31,FL,Other Competitors,261,37930.3,0.267
2024-07-31,IL,VanArsdel,87,10300.11,0.256
2024-07-31,IL,Abbas,835,72939.54,0.2255
2024-07-31,IL,Natura,71,5914.07,0.0687
2024-07-31,IL,Piraki,335,44140.47,0.1119
2024-07-31,IL,Palma,632,44558.08,0.0862
2024-07-31,IL,Other Competitors,748,43324.76,0.2262
2024-07-31,PA,VanArsdel,121,7350.31,0.215
2024-07-31,PA,Abbas,933,49355.56,0.222
2024-07-31,PA,Natura,555,67887.69,0.0894
2024-07-31,PA,Piraki,421,49435.6,0.0612
2024-07-31,PA,Palma,491,69151.08,0.3051
2024-07-31,PA,Other Competitors,536,66847.36,0.24
2024-07-31,OH,VanArsdel,427,55897.03,0.2487
2024-07-31,OH,Abbas,337,29579.52,0.3191
2024-07-31,OH,Natura,52,6284.16,0.3364
2024-07-31,OH,Piraki,388,57967.11,0.2563
2024-07-31,OH,Palma,57,7577.23,0.1354
2024-07-31,OH,Other Competitors,473,38454.29,0.1306
2024-07-31,GA,VanArsdel,425,37355.43,0.24
2024-07-31,GA,Abbas,827,65986.34,0.1141
2024-07-31,GA,Natura,470,55017.15,0.3203
2024-07-31,GA,Piraki,45,6195.93,0.2063
2024-07-31,GA,Palma,872,51597.66,0.1798
2024-07-31,GA,Other Competitors,292,22047.68,0.2012
2024-07-31,NC,VanArsdel,530,65934.2,0.2273
2024-07-31,NC,Abbas,490,45456.36,0.3418
2024-07-31,NC,Natura,623,47014.44,0.119
2024-07-31,NC,Piraki,497,50851.48,0.0523
2024-07-31,NC,Palma,558,67254.9,0.2485
2024-07-31,NC,Other Competitors,117,10158.55,0.3306
2024-07-31,MI,VanArsdel,887,69694.19,0.0971
2024-07-31,MI,Abbas,451,38681.6,0.2547
2024-07-31,MI,Natura,897,77482.61,0.0687
2024-07-31,MI,Piraki,1344,72321.05,0.3358
2024-07-31,MI,Palma,380,54843.46,0.1099
2024-07-31,MI,Other Competitors,81,8052.48,0.1852
2024-08-31,CA,VanArsdel,204,29861.92,0.2968
2024-08-31,CA,Abbas,823,54618.65,0.2703
2024-08-31,CA,Natura,643,59525.93,0.3274
2024-08-31,CA,Piraki,228,17523.34,0.069
2024-08-31,CA,Palma,576,64658.82,0.1445
2024-08-31,CA,Other Competitors,320,17286.02,0.1
2024-08-31,NY,VanArsdel,521,38996.35,0.1277
2024-08-31,NY,Abbas,696,70668.23,0.2688
2024-08-31,NY,Natura,88,7678.32,0.1938
2024-08-31,NY,Piraki,306,18981.26,0.3111
2024-08-31,NY,Palma,1303,75457.37,0.1547
2024-08-31,NY,Other Competitors,1318,76871.42,0.2431
2024-08-31,TX,VanArsdel,527,77916.6,0.1914
2024-08-31,TX,Abbas,245,17206.18,0.3169
2024-08-31,TX,Natura,662,73376.23,0.2799
2024-08-31,TX,Piraki,520,60494.84,0.2982
2024-08-31,TX,Palma,545,56405.5,0.1211
2024-08-31,TX,Other Competitors,624,60791.61,0.1384
2024-08-31,FL,VanArsdel,544,65145.97,0.3312
2024-08-31,FL,Abbas,151,17408.12,0.1233
2024-08-31,FL,Natura,1213,72768.72,0.2468
2024-08-31,FL,Piraki,752,64331.43,0.3362
2024-08-31,FL,Palma,865,68804.8,0.0523
2024-08-31,FL,Other Competitors,348,27249.29,0.317
2024-08-31,IL,VanArsdel,1359,77534.09,0.1914
2024-08-31,IL,Abbas,777,46124.9,0.1632
2024-08-31,IL,Natura,277,28781.18,0.2484
2024-08-31,IL,Piraki,907,57761.38,0.2939
2024-08-31,IL,Palma,402,55890.65,0.1848
2024-08-31,IL,Other Competitors,527,72041.73,0.1815
2024-08-31,PA,VanArsdel,234,33585.75,0.2645
2024-08-31,PA,Abbas,575,74618.4,0.2328
2024-08-31,PA,Natura,172,13688.96,0.3407
2024-08-31,PA,Piraki,488,28956.66,0.2623
2024-08-31,PA,Palma,764,60050.32,0.1393
2024-08-31,PA,Other Competitors,769,40166.97,0.2868
2024-08-31,OH,VanArsdel,212,28781.66,0.2908
2024-08-31,OH,Abbas,661,54605.15,0.2049
2024-08-31,OH,Natura,457,38362.19,0.3044
2024-08-31,OH,Piraki,309,41263.03,0.0816
2024-08-31,OH,Palma,105,15576.86,0.2263
2024-08-31,OH,Other Competitors,422,43232.73,0.1146
2024-08-31,GA,VanArsdel,1007,58902.8,0.222
2024-08-31,GA,Abbas,338,47807.66,0.2079
2024-08-31,GA,Natura,142,15279.7,0.0774
2024-08-31,GA,Piraki,381,20284.54,0.204
2024-08-31,GA,Palma,116,11339.95,0.3299
2024-08-31,GA,Other Competitors,1021,58982.11,0.1173
2024-08-31,NC,VanArsdel,398,55524.68,0.0599
2024-08-31,NC,Abbas,620,65933.83,0.2138
2024-08-31,NC,Natura,615,76835.99,0.305
2024-08-31,NC,Piraki,299,31549.67,0.2346
2024-08-31,NC,Palma,272,29118.8,0.121
2024-08-31,NC,Other Competitors,180,15753.18,0.2718
2024-08-31,MI,VanArsdel,769,73714.04,0.2428
2024-08-31,MI,Abbas,90,12727.78,0.2206
2024-08-31,MI,Natura,490,63525.37,0.1269
2024-08-31,MI,Piraki,305,44688.08,0.0769
2024-08-31,MI,Palma,384,56228.74,0.1402
2024-08-31,MI,Other Competitors,485,69608.59,0.2741
2024-09-30,CA,VanArsdel,267,22349.62,0.0607
2024-09-30,CA,Abbas,499,67358.99,0.2398
2024-09-30,CA,Natura,545,31439.59,0.2759
2024-09-30,CA,Piraki,421,59489.46,0.2692
2024-09-30,CA,Palma,538,67152.12,0.2392
2024-09-30,CA,Other Competitors,264,37022.48,0.2453
2024-09-30,NY,VanArsdel,597,34876.65,0.1372
2024-09-30,NY,Abbas,590,45779.51,0.1164
2024-09-30,NY,Natura,665,44554.51,0.2901
2024-09-30,NY,Piraki,384,41327.61,0.0942
2024-09-30,NY,Palma,322,29343.23,0.2925
2024-09-30,NY,Other Competitors,868,62761.96,0.2349
2024-09-30,TX,VanArsdel,156,23259.23,0.3356
2024-09-30,TX,Abbas,394,47244.85,0.2904
2024-09-30,TX,Natura,492,59074.88,0.3376
2024-09-30,TX,Piraki,437,49734.21,0.3048
2024-09-30,TX,Palma,448,55241.82,0.1203
2024-09-30,TX,Other Competitors,507,32845.02,0.2017
2024-09-30,FL,VanArsdel,261,39179.56,0.2334
2024-09-30,FL,Abbas,767,63983.36,0.2995
2024-09-30,FL,Natura,427,51131.37,0.1383
2024-09-30,FL,Piraki,406,46147.88,0.2267
2024-09-30,FL,Palma,526,73639.53,0.3413
2024-09-30,FL,Other Competitors,374,55057.1,0.2997
2024-09-30,IL,VanArsdel,272,25312.41,0.1215
2024-09-30,IL,Abbas,77,5314.79,0.0512
2024-09-30,IL,Natura,637,58987.88,0.1438
2024-09-30,IL,Piraki,466,62129.07,0.3426
2024-09-30,IL,Palma,552,53151.02,0.1416
2024-09-30,IL,Other Competitors,304,21673.87,0.1728
2024-09-30,PA,VanArsdel,1584,79383.98,0.1092
